"id";"taskname";"tasksequence";"istask";"vlf";"lf";"hf";"totalpower";"lfhfratio";"lfnu";"hfnu"
"1";"HiddenExit";"1";"1";"12.631424564918747";"3.905548522089793";"1.7956879867342652";"18.332661073742802";"2.174959431116223";"68.50353455859977";"31.496465441400296"
"2";"HiddenExit";"2";"0";"42.891181104246044";"13.936685206444565";"11.533781324068114";"68.36164763475875";"1.2083361748295152";"54.717039398351474";"45.28296060164841"
"3";"HiddenExit";"3";"1";"5.04109947205175";"4.782004445773826";"2.9571695564409834";"12.78027347426657";"1.6170883523936552";"61.78959724132444";"38.21040275867543"
"4";"HiddenExit";"4";"0";"12.788147714746664";"15.938039209822271";"3.1841059356150145";"31.91029286018393";"5.005499041835057";"83.34859446261052";"16.651405537389586"
"14";"HiddenExit";"1";"1";"1.9655708275416246";"4.803832597197821";"1.211746314039946";"7.981149738779392";"3.964388041901202";"79.85653032036085";"20.14346967963914"
"15";"HiddenExit";"2";"0";"6.958241599598599";"4.83456366778264";"0.364664989413477";"12.157470256794706";"13.257548182945932";"92.98617134469083";"7.013828655309368"
"16";"HiddenExit";"3";"1";"7.784114900624411";"13.953191772103917";"1.8657997842974992";"23.60310645702582";"7.478397140750822";"88.20531778119278";"11.794682218807262"
"17";"HiddenExit";"4";"0";"5.662446086904695";"4.235669903775371";"0.24898608075837217";"10.14710207143843";"17.011673467344806";"94.44804503139048";"5.551954968609682"
"27";"HiddenExit";"1";"1";"1.6791534884369501";"75.55590433042978";"5.822259115997014";"83.0573169348637";"12.97707690865824";"92.84542822125754";"7.1545717787425245"
"28";"HiddenExit";"2";"0";"0.7713962650101887";"7.273037741750915";"0.8136769811649937";"8.858110987926102";"8.938482850206281";"89.9381020717941";"10.06189792820585"
"29";"HiddenExit";"3";"1";"3.1351904192403985";"19.00939632345984";"5.151200317220521";"27.295787059920766";"3.690284817678554";"78.67933315625491";"21.320666843745055"
"30";"HiddenExit";"4";"0";"2.5040972191044366";"25.763196988908295";"2.029482258852793";"30.29677646686554";"12.694467703044358";"92.69778116474215";"7.3022188352577855"
"40";"HiddenExit";"1";"1";"0.06182032523605673";"2.0239694617024413";"2.358751443496506";"4.444541230435003";"0.85806813909235";"46.18066049566455";"53.81933950433548"
