"id";"taskname";"tasksequence";"istask";"meanrr";"sdrr";"meanhr";"sdhr";"meannn";"sdnn";"rmssd";"sdsd";"nn50";"pnn50"
"1";"HiddenExit";"1";"1";"1072.0663265306123";"55.02396740179086";"56.10982352917967";"2.8516575583458823";"1071.4518229166667";"55.43607123177337";"36.829457654577524";"36.829457654577524";"9";"17.499620233935893"
"2";"HiddenExit";"2";"0";"1036.2285539215686";"98.13345415216864";"58.456925058783604";"6.008046124932489";"1039.765625";"93.61933522863292";"64.24200600556168";"64.24200600556168";"19";"36.546697723345105"
"3";"HiddenExit";"3";"1";"993.3948863636364";"44.32105458764664";"60.5157274628335";"2.6703338036469613";"993.9236111111111";"44.561798180894584";"41.45461530944425";"41.45461530944425";"11";"20.49490538573508"
"4";"HiddenExit";"4";"0";"989.3663194444445";"58.282964438295394";"60.86344726777195";"3.7876688751805268";"989.6079009433962";"58.81340736382825";"38.02714427777975";"38.02714427777975";"9";"17.15945482982051"
"14";"HiddenExit";"1";"1";"918.6197916666666";"31.399986551133587";"65.38993372333292";"2.2198030553996446";"919.3591101694915";"31.138360593226064";"23.138129354762356";"23.138129354762356";"1";"1.843583465360795"
"15";"HiddenExit";"2";"0";"854.91943359375";"40.49857266060269";"70.3357361006991";"3.2990156192242988";"854.2906746031746";"40.50775794488061";"20.120887881956556";"20.120887881956556";"2";"3.7160690956597473"
"16";"HiddenExit";"3";"1";"963.5184151785714";"50.324523823273935";"62.43408880273844";"3.170314352696751";"963.0681818181819";"50.674401154792996";"28.03765694359238";"28.03765694359238";"4";"7.551622418879056"
"17";"HiddenExit";"4";"0";"828.0066287878788";"41.864468938106654";"72.6421924444936";"3.6004949976257237";"826.3822115384615";"40.03924571956203";"21.38426605513495";"21.38426605513495";"2";"3.723365573412843"
"27";"HiddenExit";"1";"1";"900.6510416666666";"80.11038799052142";"67.12846536043675";"5.855341636893163";"874.8675847457627";"87.95859471206404";"51.02158396773378";"51.02158396773378";"16";"30.997426971393978"
"28";"HiddenExit";"2";"0";"932.1986607142857";"57.912366578470575";"64.62302264537378";"4.258733257368851";"931.1789772727273";"57.93656777841401";"36.855322502052864";"36.855322502052864";"9";"17.573030279917624"
"29";"HiddenExit";"3";"1";"978.1976744186046";"88.44272098865227";"61.82269386916523";"5.530014460542808";"985.3050595238095";"93.49483155507376";"67.377116507663";"67.377116507663";"15";"36.24693222578818"
"30";"HiddenExit";"4";"0";"911.0026041666666";"62.84289078747127";"66.16142809193609";"4.4457157791183795";"911.0169491525423";"63.382225558677554";"36.21054444626355";"36.21054444626355";"10";"18.6046511627907"
"40";"HiddenExit";"1";"1";"1112.782579787234";"26.799922747399727";"53.94959752217395";"1.3034052898499764";"1112.3471467391305";"26.927445781136477";"33.758880326042444";"33.758880326042444";"7";"13.680433620887092"
